date,season,away_team.x,away_goals,home_team,home_goals,extra_time,attendance,winner,game_status,home_odds,tie_odds,away_odds,location_lon,location_lat,label_content
12/10/2018,2018/2019,Los Angeles Kings,1,Ottawa Setors,5,Normal Time,15355,Ottawa Setors,Played,3.26,4.33,2.1,-75.927207,45.296899,Ottawa Setors vs Los Angeles Kings | Score: 5 - 1 Normal Time | Winner is Ottawa Setors
13/10/2018,2018/2019,Aheim Ducks,3,St. Louis Blues,2,Normal Time,16562,Aheim Ducks,Played,2.03,4.35,3.15,-90.202834,38.626798,St. Louis Blues vs Aheim Ducks | Score: 2 - 3 Normal Time | Winner is Aheim Ducks
13/10/2018,2018/2019,Caroli Hurricanes,1,Winnipeg Jets,3,Normal Time,15321,Winnipeg Jets,Played,1.94,4.5,3.4,-97.143754,49.89259,Winnipeg Jets vs Caroli Hurricanes | Score: 3 - 1 Normal Time | Winner is Winnipeg Jets
14/10/2018,2018/2019,Minnesota Wild,2,shville Predators,4,Normal Time,17165,shville Predators,Played,1.82,4.5,3.9,-86.778458,36.159125,shville Predators vs Minnesota Wild | Score: 4 - 2 Normal Time | Winner is shville Predators
14/10/2018,2018/2019,Los Angeles Kings,1,Toronto Maple Leafs,4,Normal Time,19429,Toronto Maple Leafs,Played,1.91,4.5,3.64,-79.379026,43.64341,Toronto Maple Leafs vs Los Angeles Kings | Score: 4 - 1 Normal Time | Winner is Toronto Maple Leafs
14/10/2018,2018/2019,Detroit Red Wings,3,Montreal Cadiens,7,Normal Time,20323,Montreal Cadiens,Played,2.03,4.33,3.22,-73.56945,44.496067,Montreal Cadiens vs Detroit Red Wings | Score: 7 - 3 Normal Time | Winner is Montreal Cadiens
14/10/2018,2018/2019,Dallas Stars,1,Ottawa Setors,4,Normal Time,12358,Ottawa Setors,Played,3.44,4.5,1.93,-75.927207,45.296899,Ottawa Setors vs Dallas Stars | Score: 4 - 1 Normal Time | Winner is Ottawa Setors
15/10/2018,2018/2019,Caroli Hurricanes,2,Tampa Bay Lightning,4,Normal Time,19092,Tampa Bay Lightning,Played,2.01,4.55,3.2,-82.451804,27.942695,Tampa Bay Lightning vs Caroli Hurricanes | Score: 4 - 2 Normal Time | Winner is Tampa Bay Lightning
15/10/2018,2018/2019,Buffalo Sabres,1,Vegas Golden Knights,4,Normal Time,18321,Vegas Golden Knights,Played,1.77,4.4,4.1,-115.178408,36.102827,Vegas Golden Knights vs Buffalo Sabres | Score: 4 - 1 Normal Time | Winner is Vegas Golden Knights
15/10/2018,2018/2019,Florida Panthers,5,Philadelphia Flyers,6,SO,19038,Philadelphia Flyers,Played,2.3,4.33,2.65,-75.171967,39.90041,Philadelphia Flyers vs Florida Panthers | Score: 6 - 5 SO | Winner is Philadelphia Flyers
15/10/2018,2018/2019,Vancouver Canucks,3,Pittsburgh Penguins,2,OT,18492,Vancouver Canucks,Played,1.67,4.95,4.15,-79.989706,40.438823,Pittsburgh Penguins vs Vancouver Canucks | Score: 2 - 3 OT | Winner is Vancouver Canucks
15/10/2018,2018/2019,Dallas Stars,0,New Jersey Devils,3,Normal Time,12808,New Jersey Devils,Played,2.23,4.33,2.86,-74.171058,40.733511,New Jersey Devils vs Dallas Stars | Score: 3 - 0 Normal Time | Winner is New Jersey Devils
15/10/2018,2018/2019,Colorado Avalanche,2,New York Rangers,3,SO,17251,New York Rangers,Played,2.94,4.25,2.19,-73.993455,40.750478,New York Rangers vs Colorado Avalanche | Score: 3 - 2 SO | Winner is New York Rangers
15/10/2018,2018/2019,Arizo Coyotes,1,Minnesota Wild,2,Normal Time,18795,Minnesota Wild,Played,2.04,4.75,3.2,-93.102168,44.944905,Minnesota Wild vs Arizo Coyotes | Score: 2 - 1 Normal Time | Winner is Minnesota Wild
